Forescast Date,Week,Month,Date,Requested,Interval,AM/PM,Average Wait Time,Expired/Declined,Abandoned,Resolved,Total Chat Requests,Leave Blank,Week,Chat,Requested,Hour,Average Handled Time,Average Wait Time,Service level,No of Resolved Requests,Leave Blank,Total Handle Time,AHT,AWT,SL
8-Nov,Wednesday,December,12/7/2022,12/7/2022,10:00,AM,0:01:30,7,0,34,34,,Wednesday,12/7/2022,10:00,AM,0:13:05,0:01:29,55.88%,34,,26690,785,89,56%
8-Nov,Wednesday,December,12/7/2022,12/7/2022,11:00,AM,0:00:14,2,0,31,31,,Wednesday,12/7/2022,11:00,AM,0:17:07,0:00:13,93.55%,31,,31837,1027,13,94%
8-Nov,Wednesday,December,12/7/2022,12/7/2022,12:00,PM,0:00:45,5,0,40,40,,Wednesday,12/7/2022,12:00,PM,0:14:30,0:00:44,75.00%,40,,34800,870,44,75%
8-Nov,Wednesday,December,12/7/2022,12/7/2022,1:00,PM,0:00:16,5,0,39,40,,Wednesday,12/7/2022,1:00,PM,0:13:56,0:00:16,92.31%,39,,33440,836,16,92%
8-Nov,Wednesday,December,12/7/2022,12/7/2022,2:00,PM,0:00:13,3,0,35,35,,Wednesday,12/7/2022,2:00,PM,0:14:54,0:00:12,94.29%,35,,31290,894,12,94%
8-Nov,Wednesday,December,12/7/2022,12/7/2022,3:00,PM,0:00:55,6,0,32,32,,Wednesday,12/7/2022,3:00,PM,0:13:52,0:00:54,75.00%,32,,26624,832,54,75%
8-Nov,Wednesday,December,12/7/2022,12/7/2022,4:00,PM,0:00:20,3,0,14,14,,Wednesday,12/7/2022,4:00,PM,0:17:55,0:00:19,78.57%,14,,15050,1075,19,79%
8-Nov,Thursday,December,12/8/2022,12/8/2022,8:00,AM,0:00:34,2,0,14,14,,Thursday,12/8/2022,8:00,AM,0:15:42,0:00:33,78.57%,14,,13188,942,33,79%
8-Nov,Thursday,December,12/8/2022,12/8/2022,9:00,AM,0:03:16,5,1,27,28,,Thursday,12/8/2022,9:00,AM,0:18:42,0:03:15,44.44%,27,,31416,1122,195,44%
8-Nov,Thursday,December,12/8/2022,12/8/2022,10:00,AM,0:01:16,3,0,27,27,,Thursday,12/8/2022,10:00,AM,0:16:11,0:01:15,70.37%,27,,26217,971,75,70%
8-Nov,Thursday,December,12/8/2022,12/8/2022,11:00,AM,0:00:16,4,0,41,41,,Thursday,12/8/2022,11:00,AM,0:17:05,0:00:15,92.68%,41,,42025,1025,15,93%
8-Nov,Thursday,December,12/8/2022,12/8/2022,12:00,PM,0:00:14,0,0,21,21,,Thursday,12/8/2022,12:00,PM,0:13:42,0:00:13,95.24%,21,,17262,822,13,95%
8-Nov,Thursday,December,12/8/2022,12/8/2022,1:00,PM,0:00:21,2,0,36,36,,Thursday,12/8/2022,1:00,PM,0:16:10,0:00:20,88.89%,36,,34920,970,20,89%
8-Nov,Thursday,December,12/8/2022,12/8/2022,2:00,PM,0:00:12,2,0,28,28,,Thursday,12/8/2022,2:00,PM,0:13:49,0:00:11,92.86%,28,,23212,829,11,93%
8-Nov,Thursday,December,12/8/2022,12/8/2022,3:00,PM,0:00:07,0,0,24,24,,Thursday,12/8/2022,3:00,PM,0:14:45,0:00:06,100.00%,24,,21240,885,6,100%
8-Nov,Thursday,December,12/8/2022,12/8/2022,4:00,PM,0:00:23,5,0,23,23,,Thursday,12/8/2022,4:00,PM,0:18:00,0:00:22,78.26%,23,,24840,1080,22,78%
8-Nov,Friday,December,12/9/2022,12/9/2022,8:00,AM,0:00:11,1,0,20,20,,Friday,12/9/2022,8:00,AM,0:17:18,0:00:11,95.00%,20,,20760,1038,11,95%
8-Nov,Friday,December,12/9/2022,12/9/2022,9:00,AM,0:00:09,1,0,33,33,,Friday,12/9/2022,9:00,AM,0:11:01,0:00:08,96.97%,33,,21813,661,8,97%
8-Nov,Friday,December,12/9/2022,12/9/2022,10:00,AM,0:00:13,4,0,32,33,,Friday,12/9/2022,10:00,AM,0:12:41,0:00:11,90.63%,32,,25113,761,11,91%
8-Nov,Friday,December,12/9/2022,12/9/2022,11:00,AM,0:00:15,7,0,36,36,,Friday,12/9/2022,11:00,AM,0:16:51,0:00:14,86.11%,36,,36396,1011,14,86%
8-Nov,Friday,December,12/9/2022,12/9/2022,12:00,PM,0:00:33,1,0,36,36,,Friday,12/9/2022,12:00,PM,0:14:28,0:00:32,88.89%,36,,31248,868,32,89%
8-Nov,Friday,December,12/9/2022,12/9/2022,1:00,PM,0:00:23,5,0,37,37,,Friday,12/9/2022,1:00,PM,0:12:48,0:00:22,83.78%,37,,28416,768,22,84%
8-Nov,Friday,December,12/9/2022,12/9/2022,2:00,PM,0:00:12,3,0,25,25,,Friday,12/9/2022,2:00,PM,0:19:16,0:00:11,92.00%,25,,28900,1156,11,92%
8-Nov,Friday,December,12/9/2022,12/9/2022,3:00,PM,0:00:10,3,0,29,29,,Friday,12/9/2022,3:00,PM,0:15:28,0:00:09,93.10%,29,,26912,928,9,93%
8-Nov,Friday,December,12/9/2022,12/9/2022,4:00,PM,0:00:09,2,0,23,23,,Friday,12/9/2022,4:00,PM,0:14:05,0:00:08,100.00%,23,,19435,845,8,100%
8-Nov,Monday,December,12/12/2022,12/12/2022,8:00,AM,0:00:12,2,0,16,16,,Monday,12/12/2022,8:00,AM,0:14:18,0:00:11,93.75%,16,,13728,858,11,94%
8-Nov,Monday,December,12/12/2022,12/12/2022,9:00,AM,0:00:15,4,0,34,34,,Monday,12/12/2022,9:00,AM,0:15:47,0:00:14,88.24%,34,,32198,947,14,88%
8-Nov,Monday,December,12/12/2022,12/12/2022,10:00,AM,0:00:16,4,0,37,37,,Monday,12/12/2022,10:00,AM,0:13:47,0:00:15,89.19%,37,,30599,827,15,89%
8-Nov,Monday,December,12/12/2022,12/12/2022,11:00,AM,0:00:38,14,1,31,32,,Monday,12/12/2022,11:00,AM,0:13:38,0:00:37,54.84%,31,,26176,818,37,55%
8-Nov,Monday,December,12/12/2022,12/12/2022,12:00,PM,0:02:07,10,0,38,38,,Monday,12/12/2022,12:00,PM,0:15:55,0:02:06,55.26%,38,,36290,955,126,55%
8-Nov,Monday,December,12/12/2022,12/12/2022,1:00,PM,0:07:49,7,2,43,45,,Monday,12/12/2022,1:00,PM,0:12:36,0:07:48,16.28%,43,,34020,756,468,16%
8-Nov,Monday,December,12/12/2022,12/12/2022,2:00,PM,0:00:32,1,0,43,43,,Monday,12/12/2022,2:00,PM,0:18:16,0:00:31,76.74%,43,,47128,1096,31,77%
8-Nov,Monday,December,12/12/2022,12/12/2022,3:00,PM,0:00:38,5,0,35,35,,Monday,12/12/2022,3:00,PM,0:15:56,0:00:37,80.00%,35,,33460,956,37,80%
8-Nov,Monday,December,12/12/2022,12/12/2022,4:00,PM,0:00:14,2,0,23,23,,Monday,12/12/2022,4:00,PM,0:11:07,0:00:13,91.30%,23,,15341,667,13,91%
8-Nov,Monday,December,12/12/2022,12/12/2022,5:00,PM,0:00:05,0,0,1,1,,Monday,12/12/2022,5:00,PM,0:22:00,0:00:05,100.00%,1,,1320,1320,5,100%
8-Nov,Tuesday,December,12/13/2022,12/13/2022,8:00,AM,0:00:22,2,0,10,10,,Tuesday,12/13/2022,8:00,AM,0:10:54,0:00:21,80.00%,10,,6540,654,21,80%
8-Nov,Tuesday,December,12/13/2022,12/13/2022,9:00,AM,0:00:22,4,0,20,20,,Tuesday,12/13/2022,9:00,AM,0:13:33,0:00:21,85.00%,20,,16260,813,21,85%
8-Nov,Tuesday,December,12/13/2022,12/13/2022,10:00,AM,0:00:14,2,0,30,30,,Tuesday,12/13/2022,10:00,AM,0:12:22,0:00:13,93.33%,30,,22260,742,13,93%
8-Nov,Tuesday,December,12/13/2022,12/13/2022,11:00,AM,0:00:09,1,0,26,26,,Tuesday,12/13/2022,11:00,AM,0:16:36,0:00:08,96.15%,26,,25896,996,8,96%
8-Nov,Tuesday,December,12/13/2022,12/13/2022,12:00,PM,0:00:09,1,0,42,42,,Tuesday,12/13/2022,12:00,PM,0:15:52,0:00:08,97.62%,42,,39984,952,8,98%
8-Nov,Tuesday,December,12/13/2022,12/13/2022,1:00,PM,0:00:14,2,0,23,23,,Tuesday,12/13/2022,1:00,PM,0:17:00,0:00:13,91.30%,23,,23460,1020,13,91%
8-Nov,Tuesday,December,12/13/2022,12/13/2022,2:00,PM,0:00:15,3,0,18,18,,Tuesday,12/13/2022,2:00,PM,0:13:43,0:00:14,88.89%,18,,14814,823,14,89%
8-Nov,Tuesday,December,12/13/2022,12/13/2022,3:00,PM,0:00:07,1,0,19,19,,Tuesday,12/13/2022,3:00,PM,0:20:47,0:00:06,100.00%,19,,23693,1247,6,100%
8-Nov,Tuesday,December,12/13/2022,12/13/2022,4:00,PM,0:02:54,2,0,20,20,,Tuesday,12/13/2022,4:00,PM,0:16:39,0:02:53,75.00%,20,,19980,999,173,75%
8-Nov,Wednesday,December,12/14/2022,12/14/2022,8:00,AM,0:00:54,0,0,20,20,,Wednesday,12/14/2022,8:00,AM,0:15:06,0:00:53,70.00%,20,,18120,906,53,70%
8-Nov,Wednesday,December,12/14/2022,12/14/2022,9:00,AM,0:00:10,3,0,19,19,,Wednesday,12/14/2022,9:00,AM,0:16:34,0:00:09,94.74%,19,,18886,994,9,95%
8-Nov,Wednesday,December,12/14/2022,12/14/2022,10:00,AM,0:00:11,2,0,36,36,,Wednesday,12/14/2022,10:00,AM,0:15:30,0:00:10,94.44%,36,,33480,930,10,94%
8-Nov,Wednesday,December,12/14/2022,12/14/2022,11:00,AM,0:00:12,2,0,31,31,,Wednesday,12/14/2022,11:00,AM,0:14:34,0:00:11,93.55%,31,,27094,874,11,94%
8-Nov,Wednesday,December,12/14/2022,12/14/2022,12:00,PM,0:00:11,4,0,41,41,,Wednesday,12/14/2022,12:00,PM,0:16:16,0:00:10,92.68%,41,,40016,976,10,93%
8-Nov,Wednesday,December,12/14/2022,12/14/2022,1:00,PM,0:00:16,5,0,39,39,,Wednesday,12/14/2022,1:00,PM,0:13:24,0:00:15,87.18%,39,,31356,804,15,87%
8-Nov,Wednesday,December,12/14/2022,12/14/2022,2:00,PM,0:00:12,2,0,31,31,,Wednesday,12/14/2022,2:00,PM,0:14:15,0:00:11,93.55%,31,,26505,855,11,94%
8-Nov,Wednesday,December,12/14/2022,12/14/2022,3:00,PM,0:00:09,1,0,31,31,,Wednesday,12/14/2022,3:00,PM,0:13:03,0:00:08,96.77%,31,,24273,783,8,97%
8-Nov,Wednesday,December,12/14/2022,12/14/2022,4:00,PM,0:00:10,1,0,18,18,,Wednesday,12/14/2022,4:00,PM,0:16:46,0:00:09,94.44%,18,,18108,1006,9,94%
8-Nov,Wednesday,December,12/14/2022,12/14/2022,5:00,PM,0:00:05,0,0,1,1,,Wednesday,12/14/2022,5:00,PM,0:09:00,0:00:05,100.00%,1,,540,540,5,100%
8-Nov,Thursday,December,12/15/2022,12/15/2022,8:00,AM,0:00:33,4,1,17,19,,Thursday,12/15/2022,8:00,AM,0:09:45,0:00:33,76.47%,17,,11115,585,33,76%
8-Nov,Thursday,December,12/15/2022,12/15/2022,9:00,AM,0:01:26,3,0,27,27,,Thursday,12/15/2022,9:00,AM,0:11:13,0:01:26,74.07%,27,,18171,673,86,74%
8-Nov,Thursday,December,12/15/2022,12/15/2022,10:00,AM,0:01:58,6,0,30,30,,Thursday,12/15/2022,10:00,AM,0:16:42,0:01:57,56.67%,30,,30060,1002,117,57%
8-Nov,Thursday,December,12/15/2022,12/15/2022,11:00,AM,0:00:21,4,0,30,30,,Thursday,12/15/2022,11:00,AM,0:16:48,0:00:20,83.33%,30,,30240,1008,20,83%
8-Nov,Thursday,December,12/15/2022,12/15/2022,12:00,PM,0:00:12,3,0,52,52,,Thursday,12/15/2022,12:00,PM,0:12:01,0:00:11,92.31%,52,,37492,721,11,92%
8-Nov,Thursday,December,12/15/2022,12/15/2022,1:00,PM,0:00:14,4,0,38,38,,Thursday,12/15/2022,1:00,PM,0:46:03,0:00:13,94.74%,38,,104994,2763,13,95%
8-Nov,Thursday,December,12/15/2022,12/15/2022,2:00,PM,0:02:42,2,0,35,35,,Thursday,12/15/2022,2:00,PM,0:15:53,0:02:41,65.71%,35,,33355,953,161,66%
8-Nov,Thursday,December,12/15/2022,12/15/2022,3:00,PM,0:10:43,3,8,18,26,,Thursday,12/15/2022,3:00,PM,0:10:46,0:10:42,22.22%,18,,16796,646,642,22%
8-Nov,Thursday,December,12/15/2022,12/15/2022,4:00,PM,0:13:45,0,14,13,27,,Thursday,12/15/2022,4:00,PM,0:21:18,0:13:44,23.08%,13,,34506,1278,824,23%
8-Nov,Friday,December,12/16/2022,12/16/2022,8:00,AM,0:00:11,1,0,14,14,,Friday,12/16/2022,8:00,AM,0:14:12,0:00:11,92.86%,14,,11928,852,11,93%
8-Nov,Friday,December,12/16/2022,12/16/2022,9:00,AM,0:00:10,0,0,20,20,,Friday,12/16/2022,9:00,AM,0:16:30,0:00:09,100.00%,20,,19800,990,9,100%
8-Nov,Friday,December,12/16/2022,12/16/2022,10:00,AM,0:02:29,3,2,33,35,,Friday,12/16/2022,10:00,AM,0:15:09,0:02:28,48.48%,33,,31815,909,148,48%
8-Nov,Friday,December,12/16/2022,12/16/2022,11:00,AM,0:00:22,1,0,29,29,,Friday,12/16/2022,11:00,AM,0:15:12,0:00:21,89.66%,29,,26448,912,21,90%
8-Nov,Friday,December,12/16/2022,12/16/2022,12:00,PM,0:00:11,3,0,42,42,,Friday,12/16/2022,12:00,PM,0:13:42,0:00:10,95.24%,42,,34524,822,10,95%
8-Nov,Friday,December,12/16/2022,12/16/2022,1:00,PM,0:00:12,2,0,43,43,,Friday,12/16/2022,1:00,PM,0:12:32,0:00:11,93.02%,43,,32336,752,11,93%
8-Nov,Friday,December,12/16/2022,12/16/2022,2:00,PM,0:00:17,4,0,28,28,,Friday,12/16/2022,2:00,PM,0:12:47,0:00:16,85.71%,28,,21476,767,16,86%
8-Nov,Friday,December,12/16/2022,12/16/2022,3:00,PM,0:00:13,2,0,28,28,,Friday,12/16/2022,3:00,PM,0:18:27,0:00:12,92.86%,28,,30996,1107,12,93%
8-Nov,Friday,December,12/16/2022,12/16/2022,4:00,PM,0:00:07,2,0,23,23,,Friday,12/16/2022,4:00,PM,0:10:57,0:00:06,100.00%,23,,15111,657,6,100%
8-Nov,Monday,December,12/19/2022,12/19/2022,8:00,AM,0:00:07,0,0,10,10,,Monday,12/19/2022,8:00,AM,0:20:36,0:00:06,100.00%,10,,12360,1236,6,100%
8-Nov,Monday,December,12/19/2022,12/19/2022,9:00,AM,0:00:43,1,0,21,21,,Monday,12/19/2022,9:00,AM,0:19:48,0:00:42,80.95%,21,,24948,1188,42,81%
8-Nov,Monday,December,12/19/2022,12/19/2022,10:00,AM,0:00:08,1,0,36,36,,Monday,12/19/2022,10:00,AM,0:14:11,0:00:07,97.22%,36,,30636,851,7,97%
8-Nov,Monday,December,12/19/2022,12/19/2022,11:00,AM,0:00:12,2,0,32,32,,Monday,12/19/2022,11:00,AM,0:16:05,0:00:11,93.75%,32,,30880,965,11,94%
8-Nov,Monday,December,12/19/2022,12/19/2022,12:00,PM,0:00:30,1,1,53,54,,Monday,12/19/2022,12:00,PM,0:17:39,0:00:29,86.79%,53,,57186,1059,29,87%
8-Nov,Monday,December,12/19/2022,12/19/2022,1:00,PM,0:00:06,0,0,31,31,,Monday,12/19/2022,1:00,PM,0:17:38,0:00:05,100.00%,31,,32798,1058,5,100%
8-Nov,Monday,December,12/19/2022,12/19/2022,2:00,PM,0:00:15,3,0,27,27,,Monday,12/19/2022,2:00,PM,0:16:06,0:00:14,88.89%,27,,26082,966,14,89%
8-Nov,Monday,December,12/19/2022,12/19/2022,3:00,PM,0:00:08,0,0,27,27,,Monday,12/19/2022,3:00,PM,0:16:28,0:00:07,100.00%,27,,26676,988,7,100%
8-Nov,Monday,December,12/19/2022,12/19/2022,4:00,PM,0:00:17,1,0,18,18,,Monday,12/19/2022,4:00,PM,0:17:03,0:00:16,94.44%,18,,18414,1023,16,94%
8-Nov,Tuesday,December,12/20/2022,12/20/2022,8:00,AM,0:00:16,2,0,11,11,,Tuesday,12/20/2022,8:00,AM,0:12:49,0:00:15,81.82%,11,,8459,769,15,82%
8-Nov,Tuesday,December,12/20/2022,12/20/2022,9:00,AM,0:01:03,4,0,22,22,,Tuesday,12/20/2022,9:00,AM,0:18:10,0:01:02,68.18%,22,,23980,1090,62,68%
8-Nov,Tuesday,December,12/20/2022,12/20/2022,10:00,AM,0:00:10,3,0,47,47,,Tuesday,12/20/2022,10:00,AM,0:15:31,0:00:09,93.62%,47,,43757,931,9,94%
8-Nov,Tuesday,December,12/20/2022,12/20/2022,11:00,AM,0:00:09,2,0,34,34,,Tuesday,12/20/2022,11:00,AM,0:14:54,0:00:08,94.12%,34,,30396,894,8,94%
8-Nov,Tuesday,December,12/20/2022,12/20/2022,12:00,PM,0:00:09,2,0,33,33,,Tuesday,12/20/2022,12:00,PM,0:15:25,0:00:08,96.97%,33,,30525,925,8,97%
8-Nov,Tuesday,December,12/20/2022,12/20/2022,1:00,PM,0:00:06,0,0,30,30,,Tuesday,12/20/2022,1:00,PM,0:11:48,0:00:05,100.00%,30,,21240,708,5,100%
8-Nov,Tuesday,December,12/20/2022,12/20/2022,2:00,PM,0:05:05,3,3,47,50,,Tuesday,12/20/2022,2:00,PM,0:15:47,0:05:04,57.45%,47,,47350,947,304,57%
8-Nov,Tuesday,December,12/20/2022,12/20/2022,3:00,PM,0:04:14,1,0,33,33,,Tuesday,12/20/2022,3:00,PM,0:12:14,0:04:13,36.36%,33,,24222,734,253,36%
8-Nov,Tuesday,December,12/20/2022,12/20/2022,4:00,PM,0:00:08,1,0,27,28,,Tuesday,12/20/2022,4:00,PM,0:14:08,0:00:07,96.30%,27,,23744,848,7,96%
8-Nov,Wednesday,December,12/21/2022,12/21/2022,8:00,AM,0:03:50,0,1,11,12,,Wednesday,12/21/2022,8:00,AM,0:11:10,0:03:49,54.55%,11,,8040,670,229,55%
8-Nov,Wednesday,December,12/21/2022,12/21/2022,9:00,AM,0:00:08,1,0,31,31,,Wednesday,12/21/2022,9:00,AM,0:17:32,0:00:07,96.77%,31,,32612,1052,7,97%
8-Nov,Wednesday,December,12/21/2022,12/21/2022,10:00,AM,0:00:11,1,0,24,24,,Wednesday,12/21/2022,10:00,AM,0:16:00,0:00:10,95.83%,24,,23040,960,10,96%
8-Nov,Wednesday,December,12/21/2022,12/21/2022,11:00,AM,0:00:14,4,0,32,32,,Wednesday,12/21/2022,11:00,AM,0:16:31,0:00:13,87.50%,32,,31712,991,13,88%
8-Nov,Wednesday,December,12/21/2022,12/21/2022,12:00,PM,0:00:12,3,0,26,26,,Wednesday,12/21/2022,12:00,PM,0:14:43,0:00:11,92.31%,26,,22958,883,11,92%
8-Nov,Wednesday,December,12/21/2022,12/21/2022,1:00,PM,0:00:10,3,0,28,29,,Wednesday,12/21/2022,1:00,PM,0:14:10,0:00:10,92.86%,28,,24650,850,10,93%
8-Nov,Wednesday,December,12/21/2022,12/21/2022,2:00,PM,0:00:09,1,0,31,31,,Wednesday,12/21/2022,2:00,PM,0:15:52,0:00:08,96.77%,31,,29512,952,8,97%
8-Nov,Wednesday,December,12/21/2022,12/21/2022,3:00,PM,0:00:09,1,0,31,31,,Wednesday,12/21/2022,3:00,PM,0:13:48,0:00:08,96.77%,31,,25668,828,8,97%
8-Nov,Wednesday,December,12/21/2022,12/21/2022,4:00,PM,0:00:10,1,0,18,18,,Wednesday,12/21/2022,4:00,PM,0:17:33,0:00:09,94.44%,18,,18954,1053,9,94%
8-Nov,Thursday,December,12/22/2022,12/22/2022,8:00,AM,0:00:13,2,0,17,17,,Thursday,12/22/2022,8:00,AM,0:16:35,0:00:12,88.24%,17,,16915,995,12,88%
